Security,Symbol,Shared GICS Sector,Ticks,Shared GICS Sub-Ind.,Ticks,GICS Sector,GICS Sub-Industry,Date first added,Headquarters Location,SEC filings,CIK,Founded
Amazon,AMZN,,,,,Consumer Discretionary,Internet & Direct Marketing Retail,2005-11-18,"Seattle, Washington",reports,1018724,1994
Booking Holdings,BKNG,,,,,Consumer Discretionary,Internet & Direct Marketing Retail,2009-11-06,"Norwalk, Connecticut",reports,1075531,1996
eBay,EBAY,,,,,Consumer Discretionary,Internet & Direct Marketing Retail,2002-07-22,"San Jose, California",reports,1065088,1995
Etsy,ETSY,,,,,Consumer Discretionary,Internet & Direct Marketing Retail,2020-09-21,"New York City, New York",reports,1370637,2005
Expedia Group,EXPE,,,Internet & Direct Marketing Retail,,Consumer Discretionary,Internet & Direct Marketing Retail,2007-10-02,"Seattle, Washington",reports,1324424,1996
Hasbro,HAS,,,Leisure Products,,Consumer Discretionary,Leisure Products,1984-09-30,"Pawtucket, Rhode Island",reports,46080,1923
Chipotle Mexican Grill,CMG,,,,,Consumer Discretionary,Restaurants,2011-04-28,"Newport Beach, California",reports,1058090,1993
Darden,DRI,,,,,Consumer Discretionary,Restaurants,,"Orlando, Florida",reports,940944,1938
Domino's,DPZ,,,,,Consumer Discretionary,Restaurants,2020-05-12,"Ann Arbor, Michigan",reports,1286681,1960
McDonald's,MCD,,,,,Consumer Discretionary,Restaurants,1970-06-30,"Chicago, Illinois",reports,63908,1940
Starbucks,SBUX,,,,,Consumer Discretionary,Restaurants,2000-06-07,"Seattle, Washington",reports,829224,1971
Yum! Brands,YUM,,,Restaurants,,Consumer Discretionary,Restaurants,1997-10-06,"Louisville, Kentucky",reports,1041061,1997
AutoZone,AZO,,,,,Consumer Discretionary,Specialty Stores,1997-01-02,"Memphis, Tennessee",reports,866787,1979
Bath & Body Works,BBWI,,,,,Consumer Discretionary,Specialty Stores,1983-09-30,"Columbus, Ohio",reports,701985,1963
CarMax,KMX,,,,,Consumer Discretionary,Specialty Stores,2010-06-28,"Richmond, Virginia",reports,1170010,1993
Genuine Parts,GPC,,,,,Consumer Discretionary,Specialty Stores,1973-12-31,"Atlanta, Georgia",reports,40987,1925
O'Reilly Automotive,ORLY,,,,,Consumer Discretionary,Specialty Stores,2009-03-27,"Springfield, Missouri",reports,898173,1957
Tractor Supply,TSCO,,,,,Consumer Discretionary,Specialty Stores,2014-01-24,"Brentwood, Tennessee",reports,916365,1938
Ulta Beauty,ULTA,Consumer Discretionary,,Specialty Stores,,Consumer Discretionary,Specialty Stores,2016-04-18,"Bolingbrook, Illinois",reports,1403568,1990
ADM,ADM,,,Agricultural Products,,Consumer Staples,Agricultural Products,1981-07-29,"Chicago, Illinois",reports,7084,1902
Molson Coors,TAP,,,Brewers,,Consumer Staples,Brewers,1976-06-30,"Chicago, Illinois",reports,24545,"2005 (Molson 1786, Coors 1873) "
Brown–Forman,BF-B,,,,,Consumer Staples,Distillers & Vintners,1982-10-31,"Louisville, Kentucky",reports,14693,1870
Constellation Brands,STZ,,,Distillers & Vintners,,Consumer Staples,Distillers & Vintners,2005-07-01,"Victor, New York",reports,16918,1945
Walgreens Boots Alliance,WBA,,,Drug Retail,,Consumer Staples,Drug Retail,1979-12-31,"Deerfield, Illinois",reports,1618921,2014
Sysco,SYY,,,Food Distributors,,Consumer Staples,Food Distributors,1986-12-31,"Houston, Texas",reports,96021,1969
Kroger,KR,,,Food Retail,,Consumer Staples,Food Retail,1957-03-04,"Cincinnati, Ohio",reports,56873,1883
Church & Dwight,CHD,,,,,Consumer Staples,Household Products,2015-12-29,"Ewing, New Jersey",reports,313927,1847
Clorox,CLX,,,,,Consumer Staples,Household Products,1969-03-31,"Oakland, California",reports,21076,1913
Colgate-Palmolive,CL,,,,,Consumer Staples,Household Products,1957-03-04,"New York City, New York",reports,21665,1806
Kimberly-Clark,KMB,,,Household Products,,Consumer Staples,Household Products,1957-03-04,"Irving, Texas",reports,55785,1872
Costco,COST,,,,,Consumer Staples,Hypermarkets & Super Centers,1993-10-01,"Issaquah, Washington",reports,909832,1976
Walmart,WMT,,,Hypermarkets & Super Centers,,Consumer Staples,Hypermarkets & Super Centers,1982-08-31,"Bentonville, Arkansas",reports,104169,1962
Campbell's,CPB,,,,,Consumer Staples,Packaged Foods & Meats,1957-03-04,"Camden, New Jersey",reports,16732,1869
Conagra Brands,CAG,,,,,Consumer Staples,Packaged Foods & Meats,1983-08-31,"Chicago, Illinois",reports,23217,1919
General Mills,GIS,,,,,Consumer Staples,Packaged Foods & Meats,1969-03-31,"Golden Valley, Minnesota",reports,40704,1856
Hershey's,HSY,,,,,Consumer Staples,Packaged Foods & Meats,1957-03-04,"Hershey, Pennsylvania",reports,47111,1894
Hormel,HRL,,,,,Consumer Staples,Packaged Foods & Meats,2009-03-04,"Austin, Minnesota",reports,48465,1891
Kellogg's,K,,,,,Consumer Staples,Packaged Foods & Meats,1989-09-11,"Battle Creek, Michigan",reports,55067,1906
Kraft Heinz,KHC,,,,,Consumer Staples,Packaged Foods & Meats,2015-07-06,"Chicago, Illinois; Pittsburgh, Pennsylvania",reports,1637459,2015 (1869)
Lamb Weston,LW,,,,,Consumer Staples,Packaged Foods & Meats,2018-12-03,"Eagle, Idaho",reports,1679273,2016 (1950)
McCormick,MKC,,,,,Consumer Staples,Packaged Foods & Meats,2003-03-20,"Hunt Valley, Maryland",reports,63754,1889
Mondelez International,MDLZ,,,,,Consumer Staples,Packaged Foods & Meats,2012-10-02,"Chicago, Illinois",reports,1103982,2012
Smucker,SJM,,,,,Consumer Staples,Packaged Foods & Meats,2008-11-06,"Orrville, Ohio",reports,91419,1897
Tyson,TSN,,,Packaged Foods & Meats,,Consumer Staples,Packaged Foods & Meats,2005-08-10,"Springdale, Arkansas",reports,100493,1935
Estée Lauder Companies,EL,,,,,Consumer Staples,Personal Products,2006-01-05,"New York City, New York",reports,1001250,1946
Procter & Gamble,PG,,,Personal Products,,Consumer Staples,Personal Products,1957-03-04,"Cincinnati, Ohio",reports,80424,1837
Coca-Cola,KO,,,,,Consumer Staples,Soft Drinks,1957-03-04,"Atlanta, Georgia",reports,21344,1886
Monster Beverage,MNST,,,,,Consumer Staples,Soft Drinks,2012-06-28,"Corona, California",reports,865752,2012 (1935)
PepsiCo,PEP,,,Soft Drinks,,Consumer Staples,Soft Drinks,1957-03-04,"Purchase, New York",reports,77476,1898
Altria,MO,,,,,Consumer Staples,Tobacco,1957-03-04,"Richmond, Virginia",reports,764180,1985
Philip Morris International,PM,Consumer Staples,,Tobacco,,Consumer Staples,Tobacco,2008-03-31,"New York City, New York",reports,1413329,2008 (1847)
Chevron,CVX,,,,,Energy,Integrated Oil & Gas,1957-03-04,"San Ramon, California",reports,93410,1879
ExxonMobil,XOM,,,,,Energy,Integrated Oil & Gas,1957-03-04,"Irving, Texas",reports,34088,1999
Hess,HES,,,Integrated Oil & Gas,,Energy,Integrated Oil & Gas,1984-05-31,"New York City, New York",reports,4447,1919
Baker Hughes,BKR,,,,,Energy,Oil & Gas Equipment & Services,2017-07-07,"Houston, Texas",reports,1701605,2017
Halliburton,HAL,,,,,Energy,Oil & Gas Equipment & Services,1957-03-04,"Houston, Texas",reports,45012,1919
Schlumberger,SLB,,,Oil & Gas Equipment & Services,,Energy,Oil & Gas Equipment & Services,1965-03-31,"Curaçao, Kingdom of the Netherlands",reports,87347,1926
APA Corporation,APA,,,,,Energy,Oil & Gas Exploration & Production,1997-07-28,"Houston, Texas",reports,6769,1954
ConocoPhillips,COP,,,,,Energy,Oil & Gas Exploration & Production,1957-03-04,"Houston, Texas",reports,1163165,2002
Coterra,CTRA,,,,,Energy,Oil & Gas Exploration & Production,2008-06-23,"Houston, Texas",reports,858470,2021 (1989)
Devon,DVN,,,,,Energy,Oil & Gas Exploration & Production,2000-08-30,"Oklahoma City, Oklahoma",reports,1090012,1971
Diamondback,FANG,,,,,Energy,Oil & Gas Exploration & Production,2018-12-03,"Midland, Texas",reports,1539838,2007
EOG Resources,EOG,,,,,Energy,Oil & Gas Exploration & Production,2000-11-02,"Houston, Texas",reports,821189,1999
Marathon Oil,MRO,,,,,Energy,Oil & Gas Exploration & Production,1991-05-01,"Houston, Texas",reports,101778,1887
Occidental Petroleum,OXY,,,,,Energy,Oil & Gas Exploration & Production,1982-12-31,"Houston, Texas",reports,797468,1920
Pioneer Natural Resources,PXD,,,Oil & Gas Exploration & Production,,Energy,Oil & Gas Exploration & Production,2008-09-24,"Irving, Texas",reports,1038357,1997
Marathon Petroleum,MPC,,,,,Energy,Oil & Gas Refining & Marketing,2011-07-01,"Findlay, Ohio",reports,1510295,2009 (1887)
Phillips 66,PSX,,,,,Energy,Oil & Gas Refining & Marketing,2012-05-01,"Houston, Texas",reports,1534701,2012 (1917)
Valero,VLO,,,Oil & Gas Refining & Marketing,,Energy,Oil & Gas Refining & Marketing,,"San Antonio, Texas",reports,1035002,1980
Kinder Morgan,KMI,,,,,Energy,Oil & Gas Storage & Transportation,2012-05-25,"Houston, Texas",reports,1506307,1997
Oneok,OKE,,,,,Energy,Oil & Gas Storage & Transportation,2010-03-15,"Tulsa, Oklahoma",reports,1039684,1906
Williams,WMB,Energy,,Oil & Gas Storage & Transportation,,Energy,Oil & Gas Storage & Transportation,1975-03-31,"Tulsa, Oklahoma",reports,107263,1908
Ameriprise Financial,AMP,,,,,Financials,Asset Management & Custody Banks,2005-10-03,"Minneapolis, Minnesota",reports,820027,1894
BlackRock,BLK,,,,,Financials,Asset Management & Custody Banks,2011-04-04,"New York City, New York",reports,1364742,1988
BNY Mellon,BK,,,,,Financials,Asset Management & Custody Banks,1995-03-31,"New York City, New York",reports,1390777,1784
Franklin Templeton,BEN,,,,,Financials,Asset Management & Custody Banks,,"San Mateo, California",reports,38777,1947
Invesco,IVZ,,,,,Financials,Asset Management & Custody Banks,2008-08-21,"Atlanta, Georgia",reports,914208,1935
Northern Trust,NTRS,,,,,Financials,Asset Management & Custody Banks,,"Chicago, Illinois",reports,73124,1889
State Street,STT,,,,,Financials,Asset Management & Custody Banks,,"Boston, Massachusetts",reports,93751,1792
T. Rowe Price,TROW,,,Asset Management & Custody Banks,,Financials,Asset Management & Custody Banks,,"Baltimore, Maryland",reports,1113169,1937
American Express,AXP,,,,,Financials,Consumer Finance,1976-06-30,"New York City, New York",reports,4962,1850
Capital One,COF,,,,,Financials,Consumer Finance,1998-07-01,"Tysons Corner, Virginia",reports,927628,1994
Discover,DFS,,,,,Financials,Consumer Finance,2007-07-02,"Riverwoods, Illinois",reports,1393612,1985
Synchrony,SYF,,,Consumer Finance,,Financials,Consumer Finance,2015-11-18,"Stamford, Connecticut",reports,1601712,2003
Bank of America,BAC,,,,,Financials,Diversified Banks,1976-06-30,"Charlotte, North Carolina",reports,70858,1998 (1923 / 1874)
Citigroup,C,,,,,Financials,Diversified Banks,1988-05-31,"New York City, New York",reports,831001,1998
Comerica,CMA,,,,,Financials,Diversified Banks,1995-12-01,"Dallas, Texas",reports,28412,1849
JPMorgan Chase,JPM,,,,,Financials,Diversified Banks,1975-06-30,"New York City, New York",reports,19617,2000 (1799 / 1871)
U.S. Bank,USB,,,,,Financials,Diversified Banks,,"Minneapolis, Minnesota",reports,36104,1968
Wells Fargo,WFC,,,Diversified Banks,,Financials,Diversified Banks,1976-06-30,"San Francisco, California",reports,72971,1852
Cboe,CBOE,,,,,Financials,Financial Exchanges & Data,2017-03-01,"Chicago, Illinois",reports,1374310,1973
CME Group,CME,,,,,Financials,Financial Exchanges & Data,2006-08-11,"Chicago, Illinois",reports,1156375,1848
FactSet,FDS,,,,,Financials,Financial Exchanges & Data,2021-12-20,"Norwalk, Connecticut",reports,1013237,1978
Intercontinental Exchange,ICE,,,,,Financials,Financial Exchanges & Data,2007-09-26,"Atlanta, Georgia",reports,1571949,2000
MarketAxess,MKTX,,,,,Financials,Financial Exchanges & Data,2019-07-01,"New York City, New York",reports,1278021,2000
Moody's,MCO,,,,,Financials,Financial Exchanges & Data,,"New York City, New York",reports,1059556,1909
MSCI,MSCI,,,,,Financials,Financial Exchanges & Data,2018-04-04,"New York City, New York",reports,1408198,1969
Nasdaq,NDAQ,,,,,Financials,Financial Exchanges & Data,2008-10-22,"New York City, New York",reports,1120193,1971
S&P Global,SPGI,,,Financial Exchanges & Data,,Financials,Financial Exchanges & Data,,"New York City, New York",reports,64040,1917
Aon,AON,,,,,Financials,Insurance Brokers,1996-04-23,"London, UK",reports,315293,1982 (1919)
Brown & Brown,BRO,,,,,Financials,Insurance Brokers,2021-09-20,"Daytona Beach, Florida",reports,79282,1939
Gallagher,AJG,,,,,Financials,Insurance Brokers,2016-05-31,"Rolling Meadows, Illinois",reports,354190,1927
Marsh & McLennan,MMC,,,,,Financials,Insurance Brokers,1987-08-31,"New York City, New York",reports,62709,1905
Willis Towers Watson,WTW,,,Insurance Brokers,,Financials,Insurance Brokers,2016-01-05,"London, United Kingdom",reports,1140536,2016
Charles Schwab,SCHW,,,,,Financials,Investment Banking & Brokerage,1997-06-02,"Westlake, Texas",reports,316709,1971
Goldman Sachs,GS,,,,,Financials,Investment Banking & Brokerage,2002-07-22,"New York City, New York",reports,886982,1869
Morgan Stanley,MS,,,,,Financials,Investment Banking & Brokerage,,"New York City, New York",reports,895421,1935
Raymond James,RJF,,,Investment Banking & Brokerage,,Financials,Investment Banking & Brokerage,2017-03-20,"St. Petersburg, Florida",reports,720005,1962
Aflac,AFL,,,,,Financials,Life & Health Insurance,1999-05-28,"Columbus, Georgia",reports,4977,1955
Globe Life,GL,,,,,Financials,Life & Health Insurance,1989-04-30,"McKinney, Texas",reports,320335,1900
MetLife,MET,,,,,Financials,Life & Health Insurance,,"New York City, New York",reports,1099219,1868
Principal,PFG,,,,,Financials,Life & Health Insurance,2002-07-22,"Des Moines, Iowa",reports,1126328,1879
Prudential,PRU,,,Life & Health Insurance,,Financials,Life & Health Insurance,2002-07-22,"Newark, New Jersey",reports,1137774,1875
Assurant,AIZ,,,,,Financials,Multi-line Insurance,2007-04-10,"New York City, New York",reports,1267238,1892
Lincoln Financial,LNC,,,,,Financials,Multi-line Insurance,1976-06-30,"Radnor, Pennsylvania",reports,59558,1905
Loews Corporation,L,,,Multi-line Insurance,,Financials,Multi-line Insurance,,"New York City, New York",reports,60086,1959
Berkshire Hathaway,BRK-B,,,Multi-Sector Holdings,,Financials,Multi-Sector Holdings,2010-02-16,"Omaha, Nebraska",reports,1067983,1839
AIG,AIG,,,,,Financials,Property & Casualty Insurance,1980-03-31,"New York City, New York",reports,5272,1919
Allstate,ALL,,,,,Financials,Property & Casualty Insurance,1995-07-13,"Northfield Township, Illinois",reports,899051,1931
Berkley,WRB,,,,,Financials,Property & Casualty Insurance,2019-12-05,"Greenwich, Connecticut",reports,11544,1967
Chubb,CB,,,,,Financials,Property & Casualty Insurance,2010-07-15,"Zurich, Switzerland",reports,896159,1985
Cincinnati Financial,CINF,,,,,Financials,Property & Casualty Insurance,1997-12-18,"Fairfield, Ohio",reports,20286,1950
Hartford (The),HIG,,,,,Financials,Property & Casualty Insurance,1957-03-04,"Hartford, Connecticut",reports,874766,1810
Progressive,PGR,,,,,Financials,Property & Casualty Insurance,1997-08-04,"Mayfield Village, Ohio",reports,80661,1937
Travelers,TRV,,,Property & Casualty Insurance,,Financials,Property & Casualty Insurance,2002-08-21,"New York City, New York",reports,86312,1853
Citizens,CFG,,,,,Financials,Regional Banks,2016-01-29,"Providence, Rhode Island",reports,759944,1828
Fifth Third Bank,FITB,,,,,Financials,Regional Banks,,"Cincinnati, Ohio",reports,35527,1858
First Republic,FRC,,,,,Financials,Regional Banks,2019-01-02,"San Francisco, California",reports,1132979,1985
Huntington National Bank,HBAN,,,,,Financials,Regional Banks,,"Columbus, Ohio; Detroit, Michigan",reports,49196,1866
KeyCorp,KEY,,,,,Financials,Regional Banks,1994-03-01,"Cleveland, Ohio",reports,91576,1825
M&T Bank,MTB,,,,,Financials,Regional Banks,2004-02-23,"Buffalo, New York",reports,36270,1856
PNC Financial Services,PNC,,,,,Financials,Regional Banks,1988-04-30,"Pittsburgh, Pennsylvania",reports,713676,1845
Regions,RF,,,,,Financials,Regional Banks,1998-08-28,"Birmingham, Alabama",reports,1281761,1971
Signature Bank,SBNY,,,,,Financials,Regional Banks,2021-12-20,"New York City, New York",reports,1288784,2001
SVB Financial,SIVB,,,,,Financials,Regional Banks,2018-03-19,"Santa Clara, California",reports,719739,1983
Truist,TFC,,,,,Financials,Regional Banks,1997-12-04,"Charlotte, North Carolina",reports,92230,1872
Zions Bancorp,ZION,,,Regional Banks,,Financials,Regional Banks,2001-06-22,"Salt Lake City, Utah",reports,109380,1873
Everest,RE,Financials,,Reinsurance,,Financials,Reinsurance,2017-06-19,"Hamilton, Bermuda",reports,1095073,1973
Amgen,AMGN,,,,,Health Care,Biotechnology,1992-01-02,"Thousand Oaks, California",reports,318154,1980
Biogen,BIIB,,,,,Health Care,Biotechnology,2003-11-13,"Cambridge, Massachusetts",reports,875045,1978
Gilead,GILD,,,,,Health Care,Biotechnology,2004-07-01,"Foster City, California",reports,882095,1987
Incyte,INCY,,,,,Health Care,Biotechnology,2017-02-28,"Wilmington, Delaware",reports,879169,1991
Moderna,MRNA,,,,,Health Care,Biotechnology,2021-07-21,"Cambridge, Massachusetts",reports,1682852,2010
Regeneron,REGN,,,,,Health Care,Biotechnology,2013-05-01,"Tarrytown, New York",reports,872589,1988
Vertex,VRTX,,,Biotechnology,,Health Care,Biotechnology,2013-09-23,"Cambridge, Massachusetts",reports,875320,1989
AmerisourceBergen,ABC,,,,,Health Care,Health Care Distributors,2001-08-30,"Chesterbrook, Pennsylvania",reports,1140859,1985
Bristol Myers Squibb,BMY,,,,,Health Care,Health Care Distributors,1957-03-04,"New York City, New York",reports,14272,1989
Cardinal Health,CAH,,,,,Health Care,Health Care Distributors,1997-05-27,"Dublin, Ohio",reports,721371,1971
Henry Schein,HSIC,,,,,Health Care,Health Care Distributors,2015-03-17,"Melville, New York",reports,1000228,1932
McKesson,MCK,,,,,Health Care,Health Care Distributors,,"Irving, Texas",reports,927653,1833
Waters,WAT,,,Health Care Distributors,,Health Care,Health Care Distributors,,"Milford, Massachusetts",reports,1000697,1958
Abbott,ABT,,,,,Health Care,Health Care Equipment,1964-03-31,"North Chicago, Illinois",reports,1800,1888
Abiomed,ABMD,,,,,Health Care,Health Care Equipment,2018-05-31,"Danvers, Massachusetts",reports,815094,1981
Agilent Technologies,A,,,,,Health Care,Health Care Equipment,2000-06-05,"Santa Clara, California",reports,1090872,1999
Baxter,BAX,,,,,Health Care,Health Care Equipment,1972-09-30,"Deerfield, Illinois",reports,10456,1931
Becton Dickinson,BDX,,,,,Health Care,Health Care Equipment,1972-09-30,"Franklin Lakes, New Jersey",reports,10795,1897
